Date,Close,Open,High,Low,Daily High,Daily Low,Weekly High,Weekly Low,Monthly High,Monthly Low,Quarterly High,Quarterly Low
2022-05-04,140.1562,139.6562,140.5312,138.9062,140.5312,138.9062,143.2812,139.8438,150.4062,138.4375,160.5625,146.3125
2022-05-03,140.0,139.3438,140.75,139.0312,140.75,139.0312,143.2812,139.8438,150.4062,138.4375,160.5625,146.3125
2022-05-02,139.0938,139.8438,140.4688,138.9062,140.4688,138.9062,143.2812,139.8438,150.4062,138.4375,160.5625,146.3125
2022-04-29,140.6875,141.75,141.9062,139.8438,141.9062,139.8438,141.4062,138.4375,160.375,146.3125,160.5625,146.3125
2022-04-28,141.2188,141.3125,141.9688,140.375,141.9688,140.375,141.4062,138.4375,160.375,146.3125,160.5625,146.3125
2022-04-27,141.5312,143.0625,143.2812,141.2812,143.2812,141.2812,141.4062,138.4375,160.375,146.3125,160.5625,146.3125
2022-04-26,142.4375,141.4375,143.2812,141.0,143.2812,141.0,141.4062,138.4375,160.375,146.3125,160.5625,146.3125
2022-04-25,141.5312,140.125,142.375,139.875,142.375,139.875,141.4062,138.4375,160.375,146.3125,160.5625,146.3125
2022-04-22,140.0938,139.9688,140.9375,139.3125,140.9375,139.3125,143.6562,140.75,160.375,146.3125,160.5625,146.3125
2022-04-21,140.0625,141.1562,141.25,139.2812,141.25,139.2812,143.6562,140.75,160.375,146.3125,160.5625,146.3125
2022-04-20,141.0312,139.125,141.4062,138.4375,141.4062,138.4375,143.6562,140.75,160.375,146.3125,160.5625,146.3125
2022-04-19,139.4688,140.2188,140.5625,138.9688,140.5625,138.9688,143.6562,140.75,160.375,146.3125,160.5625,146.3125
2022-04-18,140.1875,140.9375,141.0938,140.0,141.0938,140.0,143.6562,140.75,160.375,146.3125,160.5625,146.3125
2022-04-14,141.0625,142.8438,143.6562,140.75,143.6562,140.75,149.6562,142.8125,160.375,146.3125,160.5625,146.3125
2022-04-13,143.1875,142.4062,143.625,141.3438,143.625,141.3438,149.6562,142.8125,160.375,146.3125,160.5625,146.3125
2022-04-12,142.4375,142.0,143.25,141.1875,143.25,141.1875,149.6562,142.8125,160.375,146.3125,160.5625,146.3125
2022-04-11,142.0625,143.125,143.25,141.8438,143.25,141.8438,149.6562,142.8125,160.375,146.3125,160.5625,146.3125
2022-04-08,143.1562,144.2812,144.8438,142.8125,144.8438,142.8125,150.4062,146.3125,160.375,146.3125,160.5625,146.3125
2022-04-07,144.25,145.5625,146.125,143.875,146.125,143.875,150.4062,146.3125,160.375,146.3125,160.5625,146.3125
2022-04-06,145.4375,146.5938,146.6875,144.75,146.6875,144.75,150.4062,146.3125,160.375,146.3125,160.5625,146.3125
2022-04-05,146.4062,149.125,149.3438,146.2188,149.3438,146.2188,150.4062,146.3125,160.375,146.3125,160.5625,146.3125
2022-04-04,148.875,149.4688,149.6562,148.4062,149.6562,148.4062,150.4062,146.3125,160.375,146.3125,160.5625,146.3125
2022-04-01,149.8125,149.9375,150.0625,147.9062,150.0625,147.9062,152.3438,146.625,160.375,146.3125,160.5625,146.3125
2022-03-31,150.0625,149.5312,150.4062,149.3125,150.4062,149.3125,152.3438,146.625,160.375,146.3125,160.5625,146.3125
2022-03-30,149.4375,149.0938,150.0312,148.1875,150.0312,148.1875,152.3438,146.625,156.5312,150.375,164.375,157.0938
2022-03-29,148.9375,147.9062,149.3125,146.8125,149.3125,146.8125,152.3438,146.625,156.5312,150.375,164.375,157.0938
2022-03-28,147.625,147.25,148.6562,146.3125,148.6562,146.3125,152.3438,146.625,156.5312,150.375,164.375,157.0938
2022-03-25,147.0625,148.75,149.4688,146.625,149.4688,146.625,155.2812,150.8438,156.5312,150.375,164.375,157.0938
2022-03-24,149.3438,150.0,150.0312,148.2188,150.0312,148.2188,155.2812,150.8438,156.5312,150.375,164.375,157.0938
2022-03-23,149.5312,148.3438,150.25,147.6562,150.25,147.6562,155.2812,150.8438,156.5312,150.375,164.375,157.0938
2022-03-22,148.4062,149.9688,150.0938,148.1562,150.0938,148.1562,155.2812,150.8438,156.5312,150.375,164.375,157.0938
2022-03-21,149.625,152.2188,152.3438,149.4062,152.3438,149.4062,155.2812,150.8438,156.5312,150.375,164.375,157.0938
2022-03-18,152.4688,151.6562,152.8438,151.4375,152.8438,151.4375,160.375,154.4062,156.5312,150.375,164.375,157.0938
2022-03-17,151.4375,151.75,153.2812,151.0,153.2812,151.0,160.375,154.4062,156.5312,150.375,164.375,157.0938
2022-03-16,151.8125,152.2188,152.4688,150.8438,152.4688,150.8438,160.375,154.4062,156.5312,150.375,164.375,157.0938
2022-03-15,152.0312,152.5312,153.4062,151.875,153.4062,151.875,160.375,154.4062,156.5312,150.375,164.375,157.0938
2022-03-14,152.5,155.25,155.2812,152.3438,155.2812,152.3438,160.375,154.4062,156.5312,150.375,164.375,157.0938
2022-03-11,155.0625,155.25,155.7188,154.5625,155.7188,154.5625,159.7812,154.9688,156.5312,150.375,164.375,157.0938
2022-03-10,154.7188,155.25,156.0938,154.4062,156.0938,154.4062,159.7812,154.9688,156.5312,150.375,164.375,157.0938
2022-03-09,155.6875,157.4375,157.6562,155.25,157.6562,155.25,159.7812,154.9688,156.5312,150.375,164.375,157.0938
2022-03-08,157.0625,158.8125,159.3438,156.9062,159.3438,156.9062,159.7812,154.9688,156.5312,150.375,164.375,157.0938
2022-03-07,159.7812,159.375,160.375,157.9375,160.375,157.9375,159.7812,154.9688,156.5312,150.375,164.375,157.0938
2022-03-04,159.3125,156.8125,159.7812,156.625,159.7812,156.625,154.9062,152.0625,156.5312,150.375,164.375,157.0938
2022-03-03,156.7812,156.2188,157.125,155.9062,157.125,155.9062,154.9062,152.0625,156.5312,150.375,164.375,157.0938
2022-03-02,156.5,158.7812,159.1562,155.5938,159.1562,155.5938,154.9062,152.0625,156.5312,150.375,164.375,157.0938
2022-03-01,159.1562,156.9375,159.6875,156.3125,159.6875,156.3125,154.9062,152.0625,156.5312,150.375,164.375,157.0938
2022-02-28,156.6875,155.5312,157.2812,154.9688,157.2812,154.9688,154.9062,152.0625,156.5312,150.375,164.375,157.0938
2022-02-25,153.9688,154.2188,154.9062,153.3125,154.9062,153.3125,153.2812,150.375,160.5625,153.2188,164.375,157.0938
2022-02-24,152.4375,152.2812,154.8125,152.2188,154.8125,152.2188,153.2812,150.375,160.5625,153.2188,164.375,157.0938
2022-02-23,152.5625,153.0938,153.375,152.0625,153.375,152.0625,153.2812,150.375,160.5625,153.2188,164.375,157.0938
2022-02-22,152.9688,153.25,154.4375,152.5312,154.4375,152.5312,153.2812,150.375,160.5625,153.2188,164.375,157.0938
2022-02-18,153.0312,152.125,153.2812,151.625,153.2812,151.625,153.9375,150.8125,160.5625,153.2188,164.375,157.0938
2022-02-17,151.9688,150.9375,152.5312,150.9062,152.5312,150.9062,153.9375,150.8125,160.5625,153.2188,164.375,157.0938
2022-02-16,150.8438,150.75,151.5,150.375,151.5,150.375,153.9375,150.8125,160.5625,153.2188,164.375,157.0938
2022-02-15,150.75,151.9062,152.2188,150.5625,152.2188,150.5625,153.9375,150.8125,160.5625,153.2188,164.375,157.0938
2022-02-14,151.75,152.75,152.375,151.5625,152.375,151.5625,153.9375,150.8125,160.5625,153.2188,164.375,157.0938
2022-02-11,152.6562,151.4688,153.2188,150.8125,153.2188,150.8125,156.5312,153.0625,160.5625,153.2188,164.375,157.0938
2022-02-10,151.6562,152.9688,153.3438,151.0625,153.3438,151.0625,156.5312,153.0625,160.5625,153.2188,164.375,157.0938
2022-02-09,153.2812,152.6562,153.7812,152.5625,153.7812,152.5625,156.5312,153.0625,160.5625,153.2188,164.375,157.0938
2022-02-08,152.7812,153.4688,153.5625,152.4375,153.5625,152.4375,156.5312,153.0625,160.5625,153.2188,164.375,157.0938
2022-02-07,153.5,153.4375,153.9375,153.0625,153.9375,153.0625,156.5312,153.0625,160.5625,153.2188,164.375,157.0938
2022-02-04,153.25,154.75,155.4062,153.0625,155.4062,153.0625,156.5938,153.9062,160.5625,153.2188,164.375,157.0938
2022-02-03,154.9062,155.75,156.1562,154.2812,156.1562,154.2812,156.5938,153.9062,160.5625,153.2188,164.375,157.0938
2022-02-02,156.0,155.3438,156.5312,155.0938,156.5312,155.0938,156.5938,153.9062,160.5625,153.2188,164.375,157.0938
2022-02-01,155.3125,155.5312,156.3125,154.7812,156.3125,154.7812,156.5938,153.9062,160.5625,153.2188,164.375,157.0938
2022-01-31,155.625,155.5938,155.9375,154.9688,155.9375,154.9688,156.5938,153.9062,160.5625,153.2188,164.375,157.0938
2022-01-28,155.75,155.375,155.9375,154.4688,155.9375,154.4688,156.25,153.2188,164.375,159.0312,164.375,157.0938
2022-01-27,155.4062,154.2188,155.8438,154.1562,155.8438,154.1562,156.25,153.2188,164.375,159.0312,164.375,157.0938
2022-01-26,154.3438,155.4375,155.5625,153.9062,155.5625,153.9062,156.25,153.2188,164.375,159.0312,164.375,157.0938
2022-01-25,155.25,155.3125,156.2812,154.8438,156.2812,154.8438,156.25,153.2188,164.375,159.0312,164.375,157.0938
2022-01-24,155.9062,155.6875,156.5938,155.2188,156.5938,155.2188,156.25,153.2188,164.375,159.0312,164.375,157.0938
2022-01-21,155.9375,154.9375,156.25,154.7812,156.25,154.7812,156.875,154.5938,164.375,159.0312,164.375,157.0938
2022-01-20,154.4688,153.75,154.9688,153.5625,154.9688,153.5625,156.875,154.5938,164.375,159.0312,164.375,157.0938
2022-01-19,154.5625,153.6562,154.5938,153.2188,154.5938,153.2188,156.875,154.5938,164.375,159.0312,164.375,157.0938
2022-01-18,153.6875,155.0312,155.0312,153.5,155.0312,153.5,156.875,154.5938,164.375,159.0312,164.375,157.0938
2022-01-14,155.3438,156.5625,156.5938,154.9688,156.5938,154.9688,160.1562,154.625,164.375,159.0312,164.375,157.0938
2022-01-13,156.5312,155.75,156.875,155.5625,156.875,155.5625,160.1562,154.625,164.375,159.0312,164.375,157.0938
2022-01-12,156.0312,156.0625,156.5312,155.6562,156.5312,155.6562,160.1562,154.625,164.375,159.0312,164.375,157.0938
2022-01-11,155.9375,155.5938,156.0938,155.2812,156.0938,155.2812,160.1562,154.625,164.375,159.0312,164.375,157.0938
2022-01-10,155.3438,155.1562,155.8125,154.5938,155.8125,154.5938,160.1562,154.625,164.375,159.0312,164.375,157.0938
2022-01-07,155.125,156.125,156.375,154.625,156.375,154.625,161.3438,159.0312,164.375,159.0312,164.375,157.0938
2022-01-06,155.9375,156.1875,156.625,155.4688,156.625,155.4688,161.3438,159.0312,164.375,159.0312,164.375,157.0938
2022-01-05,156.375,157.0938,157.3125,156.1562,157.3125,156.1562,161.3438,159.0312,164.375,159.0312,164.375,157.0938
2022-01-04,156.8125,157.8125,158.0625,156.4062,158.0625,156.4062,161.3438,159.0312,164.375,159.0312,164.375,157.0938
2022-01-03,157.9062,160.0,160.1562,157.5,160.1562,157.5,161.3438,159.0312,164.375,159.0312,164.375,157.0938
2021-12-31,160.4375,159.9062,160.5625,159.6875,160.5625,159.6875,163.5938,160.3438,164.375,159.0312,164.375,157.0938
2021-12-30,159.875,159.2188,160.125,159.125,160.125,159.125,163.5938,160.3438,164.0312,158.3125,167.125,158.6875
2021-12-29,159.375,160.625,160.875,159.0312,160.875,159.0312,163.5938,160.3438,164.0312,158.3125,167.125,158.6875
2021-12-28,160.6562,160.7188,161.3438,160.4062,161.3438,160.4062,163.5938,160.3438,164.0312,158.3125,167.125,158.6875
2021-12-27,160.75,160.5312,160.9062,160.5312,160.9062,160.5312,163.5938,160.3438,164.0312,158.3125,167.125,158.6875
2021-12-23,160.4688,161.4062,161.5625,160.3438,161.5625,160.3438,162.9688,160.9375,164.0312,158.3125,167.125,158.6875
2021-12-22,161.375,161.2188,161.5938,160.875,161.5938,160.875,162.9688,160.9375,164.0312,158.3125,167.125,158.6875
2021-12-21,160.7812,161.8125,162.0938,160.4375,162.0938,160.4375,162.9688,160.9375,164.0312,158.3125,167.125,158.6875
2021-12-20,161.9688,162.625,163.5938,161.7812,163.5938,161.7812,162.9688,160.9375,164.0312,158.3125,167.125,158.6875
2021-12-17,162.5625,162.1875,162.9688,161.9062,162.9688,161.9062,163.9375,160.375,164.0312,158.3125,167.125,158.6875
2021-12-16,162.125,161.625,162.3438,161.0938,162.3438,161.0938,163.9375,160.375,164.0312,158.3125,167.125,158.6875
2021-12-15,161.75,162.1562,162.4688,161.2812,162.4688,161.2812,163.9375,160.375,164.0312,158.3125,167.125,158.6875
2021-12-14,162.2188,162.5625,162.6562,161.5,162.6562,161.5,163.9375,160.375,164.0312,158.3125,167.125,158.6875
2021-12-13,162.4688,161.2188,162.7188,160.9375,162.7188,160.9375,163.9375,160.375,164.0312,158.3125,167.125,158.6875
2021-12-10,161.3125,161.0312,162.0312,160.7812,162.0312,160.7812,164.375,159.875,164.0312,158.3125,167.125,158.6875
2021-12-09,161.2812,160.5625,161.5312,160.375,161.5312,160.375,164.375,159.875,164.0312,158.3125,167.125,158.6875
2021-12-08,160.8125,161.9375,162.8125,160.375,162.8125,160.375,164.375,159.875,164.0312,158.3125,167.125,158.6875
2021-12-07,161.9062,162.4375,162.75,161.7188,162.75,161.7188,164.375,159.875,164.0312,158.3125,167.125,158.6875
2021-12-06,162.5312,163.9375,163.9375,162.3125,163.9375,162.3125,164.375,159.875,164.0312,158.3125,167.125,158.6875
2021-12-03,164.1562,162.25,164.375,161.875,164.375,161.875,161.8438,158.3125,164.0312,158.3125,167.125,158.6875
2021-12-02,162.3438,162.875,163.125,161.9688,163.125,161.9688,161.8438,158.3125,164.0312,158.3125,167.125,158.6875
2021-12-01,162.375,161.875,163.0312,161.0312,163.0312,161.0312,161.8438,158.3125,164.0312,158.3125,167.125,158.6875
2021-11-30,162.125,160.9062,162.375,160.4375,162.375,160.4375,161.8438,158.3125,164.0312,158.3125,167.125,158.6875
2021-11-29,160.4375,161.125,161.125,159.875,161.125,159.875,161.8438,158.3125,161.25,157.0938,167.125,158.6875
2021-11-26,161.3125,158.625,161.5,158.3125,161.5,158.3125,162.125,159.5938,161.25,157.0938,167.125,158.6875
2021-11-24,160.0,159.2812,160.2812,158.9062,160.2812,158.9062,162.125,159.5938,161.25,157.0938,167.125,158.6875
2021-11-23,159.375,160.4062,160.5312,158.9688,160.5312,158.9688,162.125,159.5938,161.25,157.0938,167.125,158.6875
2021-11-22,160.3125,161.6562,161.8438,160.1562,161.8438,160.1562,162.125,159.5938,161.25,157.0938,167.125,158.6875
2021-11-19,161.8125,160.9062,162.125,160.5,162.125,160.5,164.0312,161.1875,161.25,157.0938,167.125,158.6875
2021-11-18,160.9375,160.7188,161.1562,160.4062,161.1562,160.4062,164.0312,161.1875,161.25,157.0938,167.125,158.6875
2021-11-17,160.4375,159.8438,160.9375,159.5938,160.9375,159.5938,164.0312,161.1875,161.25,157.0938,167.125,158.6875
2021-11-16,160.0,160.375,160.7188,159.7188,160.7188,159.7188,164.0312,161.1875,161.25,157.0938,167.125,158.6875
2021-11-15,160.25,161.6562,162.0625,160.0312,162.0625,160.0312,164.0312,161.1875,161.25,157.0938,167.125,158.6875
2021-11-12,161.375,161.75,162.25,161.1875,162.25,161.1875,163.125,159.5625,161.25,157.0938,167.125,158.6875
2021-11-11,161.7812,162.1562,162.375,161.6562,162.375,161.6562,163.125,159.5625,161.25,157.0938,167.125,158.6875
2021-11-10,162.125,163.6875,163.7188,161.2812,163.7188,161.2812,163.125,159.5625,161.25,157.0938,167.125,158.6875
2021-11-09,163.7188,162.3125,164.0312,162.2812,164.0312,162.2812,163.125,159.5625,161.25,157.0938,167.125,158.6875
2021-11-08,162.2812,162.6562,162.7812,162.125,162.7812,162.125,163.125,159.5625,161.25,157.0938,167.125,158.6875
2021-11-05,162.875,161.0312,163.125,160.6875,163.125,160.6875,161.25,157.75,161.25,157.0938,167.125,158.6875
2021-11-04,161.1562,159.6562,161.5,159.5625,161.5,159.5625,161.25,157.75,161.25,157.0938,167.125,158.6875
2021-11-03,160.4688,160.6562,161.4375,159.5625,161.4375,159.5625,161.25,157.75,161.25,157.0938,167.125,158.6875
2021-11-02,160.7812,160.5938,161.1562,160.3438,161.1562,160.3438,161.25,157.75,161.25,157.0938,167.125,158.6875
2021-11-01,160.375,160.8125,161.0,159.8125,161.0,159.8125,161.25,157.75,161.25,157.0938,167.125,158.6875
2021-10-29,160.8438,160.1562,161.2188,159.4688,161.2188,159.4688,159.7812,157.2188,164.75,158.6875,167.125,158.6875
2021-10-28,160.5,160.6562,161.25,160.0938,161.25,160.0938,159.7812,157.2188,164.75,158.6875,167.125,158.6875
2021-10-27,160.9688,159.1562,161.1562,158.75,161.1562,158.75,159.7812,157.2188,164.75,158.6875,167.125,158.6875
2021-10-26,158.9688,158.5312,159.2188,158.25,159.2188,158.25,159.7812,157.2188,164.75,158.6875,167.125,158.6875
2021-10-25,158.5312,158.5938,158.7812,157.75,158.7812,157.75,159.7812,157.2188,164.75,158.6875,167.125,158.6875
2021-10-22,158.2812,157.25,158.75,157.25,158.75,157.25,160.3438,157.0938,164.75,158.6875,167.125,158.6875
2021-10-21,157.75,157.6562,158.1562,157.2188,158.1562,157.2188,160.3438,157.0938,164.75,158.6875,167.125,158.6875
2021-10-20,158.125,158.2188,158.4688,157.5625,158.4688,157.5625,160.3438,157.0938,164.75,158.6875,167.125,158.6875
2021-10-19,158.2812,159.1875,159.7812,158.0625,159.7812,158.0625,160.3438,157.0938,164.75,158.6875,167.125,158.6875
2021-10-18,159.5625,159.4062,159.7188,158.6562,159.7188,158.6562,160.3438,157.0938,164.75,158.6875,167.125,158.6875
2021-10-15,159.375,160.2188,160.25,159.0938,160.25,159.0938,160.625,157.5,164.75,158.6875,167.125,158.6875
2021-10-14,160.0938,159.8438,160.3438,159.1875,160.3438,159.1875,160.625,157.5,164.75,158.6875,167.125,158.6875
2021-10-13,159.6562,158.6562,159.9375,158.4375,159.9375,158.4375,160.625,157.5,164.75,158.6875,167.125,158.6875
2021-10-12,158.5625,157.5,158.9375,157.4062,158.9375,157.4062,160.625,157.5,164.75,158.6875,167.125,158.6875
2021-10-11,157.4688,157.5938,157.7188,157.0938,157.7188,157.0938,160.625,157.5,164.75,158.6875,167.125,158.6875
2021-10-08,157.75,158.375,158.6562,157.5,158.6562,157.5,161.25,158.6875,164.75,158.6875,167.125,158.6875
2021-10-07,158.4375,159.4375,159.75,158.3125,159.75,158.3125,161.25,158.6875,164.75,158.6875,167.125,158.6875
2021-10-06,159.4688,159.125,159.7812,158.1875,159.7812,158.1875,161.25,158.6875,164.75,158.6875,167.125,158.6875
2021-10-05,159.1562,160.0938,160.375,158.9688,160.375,158.9688,161.25,158.6875,164.75,158.6875,167.125,158.6875
2021-10-04,160.125,160.4375,160.625,159.4688,160.625,159.4688,161.25,158.6875,164.75,158.6875,167.125,158.6875
2021-10-01,160.3438,159.9688,160.4688,159.5625,160.4688,159.5625,164.5,160.8438,164.75,158.6875,167.125,158.6875
2021-09-30,159.2188,159.5625,160.0938,158.8125,160.0938,158.8125,164.5,160.8438,164.75,158.6875,167.125,158.6875
2021-09-29,159.0938,159.0625,160.0938,158.6875,160.0938,158.6875,164.5,160.8438,167.0,162.2812,163.0625,154.5
2021-09-28,159.3125,160.5625,160.8125,158.7188,160.8125,158.7188,164.5,160.8438,167.0,162.2812,163.0625,154.5
